Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.2902E-13,0.000000001,0.00000003,0.999887384,0,0
1.50163E-13,0.000000003,0.000000034,0.999753729,0,0
2.00135E-13,0.00000001,0.000000046,0.999232724,0,0
2.41221E-13,0.000000025,0.000000055,0.998399857,0,0
3.78707E-13,0.0000001,0.000000087,0.995391391,0,0
5.66036E-13,0.00000025,0.00000013,0.991469619,0,0
1.13386E-12,0.000001,0.00000026,0.980339161,0,0
2.35274E-12,0.0000025,0.000000539,0.969083711,0,0
5.38397E-12,0.00001,0.000001234,0.945889688,0,0
8.52791E-12,0.000025,0.000001955,0.919249109,0,0
1.35939E-11,0.000050001,0.000003116,0.89082028,0,0
2.02645E-11,0.000100001,0.000004645,0.854122192,0,0
3.97774E-11,0.000250003,0.000009118,0.788178498,0,0
7.89619E-11,0.000500006,0.0000181,0.733836766,0,0
1.42538E-10,0.001000009,0.000032674,0.676954358,0,0
3.84678E-10,0.002500038,0.000088177,0.598020179,0,0
9.3907E-10,0.005000038,0.000215242,0.54739355,0.00000667,0
2.22073E-9,0.010000188,0.000508934,0.505091869,0.000040018,0.000180083
7.65849E-9,0.025000544,0.001754032,0.460959863,0.000353489,0.000600276
1.752E-8,0.050001668,0.004008082,0.435744933,0.000393506,0.000660304
3.3607E-8,0.100000248,0.007674206,0.410631481,0.000393506,0.000660304
6.69107E-8,0.200000988,0.015221055,0.385130678,0.000453533,0.000660304
9.77804E-8,0.300004094,0.022165072,0.369876728,0.000660291,0.001020469
1.30029E-7,0.400009038,0.029367012,0.358933139,0.00100044,0.001140525
1.62057E-7,0.500000236,0.036467204,0.350428747,0.001187189,0.001440663
1.9318E-7,0.600004558,0.043316961,0.343440344,0.001353929,0.001680773
2.26769E-7,0.700012344,0.050654764,0.337536028,0.001554017,0.001920884
2.4319E-7,0.750020847,0.054221558,0.334902537,0.001627383,0.001980911
2.59554E-7,0.800001364,0.057762607,0.332441065,0.001754105,0.001980911
2.92303E-7,0.90002598,0.064809602,0.32794631,0.00200088,0.002100966
3.24614E-7,1.000030792,0.071710712,0.323929247,0.002220977,0.002221022
3.55776E-7,1.100034098,0.078318144,0.320293347,0.002474422,0.002701243
3.86626E-7,1.200026468,0.084813319,0.316959407,0.002747876,0.003001381
4.17245E-7,1.300004906,0.091214249,0.313877926,0.003114704,0.003361546
4.48672E-7,1.400043469,0.097737681,0.311016728,0.00351488,0.003661684
4.80997E-7,1.500041177,0.104398664,0.308353536,0.003968413,0.004081878
5.53877E-7,1.750003776,0.1192368,0.302372493,0.005242307,0.005222402
6.22273E-7,2.000020938,0.132938067,0.297104274,0.006843011,0.007023231
6.85211E-7,2.250061116,0.145357826,0.292368199,0.008417037,0.0080437
7.45619E-7,2.500010562,0.15711094,0.288044225,0.010571318,0.009724473
8.02502E-7,2.750046191,0.168030373,0.284044487,0.012285406,0.011405246
8.6132E-7,3.000001542,0.179172453,0.280324434,0.014126216,0.013146047
9.17281E-7,3.250028485,0.189634751,0.276844464,0.01589366,0.014946876
9.75592E-7,3.500006031,0.200394636,0.273572402,0.017514373,0.017047842
1.03597E-6,3.750030201,0.211385628,0.270494633,0.019035042,0.018548532
1.09696E-6,4.00000894,0.22233429,0.267592596,0.020702442,0.019629029
1.15684E-6,4.250085297,0.23293639,0.264846489,0.022723332,0.021429858
1.21898E-6,4.500060564,0.243785607,0.262240224,0.024670855,0.023350741
1.2765E-6,4.75006058,0.25368983,0.259760189,0.026625048,0.025751846
1.33361E-6,5.00011378,0.263397745,0.257389057,0.028852695,0.027552674
1.3911E-6,5.25003032,0.273040317,0.255118167,0.030933611,0.029833724
1.44411E-6,5.50008461,0.281821246,0.252935142,0.033227954,0.031874662
1.49896E-6,5.750121863,0.290794229,0.250832557,0.035502288,0.034575905
1.55388E-6,6.00004793,0.299667614,0.2488067,0.03763656,0.036977009
1.60991E-6,6.250047506,0.308604639,0.246850145,0.039824189,0.038117534
1.66504E-6,6.500109658,0.317286187,0.244960417,0.041891766,0.039918362
1.72137E-6,6.750138805,0.326046064,0.243132567,0.044379527,0.041599136
1.77964E-6,7.000032738,0.334988786,0.241365356,0.046760575,0.043820157
1.83551E-6,7.250002828,0.34345038,0.239653835,0.048994891,0.046041179
1.8892E-6,7.500090889,0.351482389,0.237991815,0.051536009,0.048322228
1.94062E-6,7.750154176,0.359081272,0.236375584,0.053970414,0.051203554
1.99302E-6,8.000123247,0.366733247,0.234802668,0.056351461,0.054084879
2.04394E-6,8.250134207,0.374083045,0.233269352,0.058919258,0.056846149
2.0967E-6,8.500027955,0.38160698,0.231775638,0.061467046,0.059727475
2.14883E-6,8.750065178,0.388951995,0.230317813,0.064094868,0.0626088
2.20165E-6,9.000191343,0.396306512,0.228894639,0.067136207,0.065189987
2.24862E-6,9.250102843,0.402771516,0.227504879,0.069810717,0.067771175
2.30055E-6,9.500174636,0.409839218,0.226143582,0.072585271,0.070712528
2.35079E-6,9.750164328,0.416596618,0.224813224,0.075293129,0.074134102
2.39774E-6,10.000128391,0.422841593,0.223510092,0.078207745,0.077255538
2.44402E-6,10.25021721,0.428932246,0.22223171,0.081042325,0.079356504
2.48807E-6,10.500000983,0.434669627,0.220978079,0.083816879,0.081637553
2.53322E-6,10.750064273,0.44049079,0.219745487,0.086544746,0.084458851
2.57541E-6,11.000092199,0.445875887,0.218533933,0.089099204,0.086799928
2.61989E-6,11.25019783,0.451496853,0.217342179,0.091767044,0.089681253
2.65924E-6,11.500196959,0.45642317,0.216170226,0.094594955,0.092862717
2.70291E-6,11.75012338,0.461836918,0.215016837,0.097469553,0.096344318
2.74593E-6,12.000247065,0.46711849,0.213880773,0.100484213,0.099225644
2.78778E-6,12.250052211,0.472205975,0.212763272,0.103425507,0.101926886
2.83104E-6,12.500103089,0.477413907,0.211661859,0.106453506,0.103787742
2.86958E-6,12.750084195,0.482010473,0.210576534,0.109381461,0.106248874
2.90991E-6,13.000067895,0.486776839,0.20950606,0.112309416,0.108950117
2.95194E-6,13.250183539,0.491698407,0.208450436,0.115210693,0.111951498
2.99095E-6,13.500114311,0.49622369,0.207409662,0.117971908,0.114472657
3.02902E-6,13.750187093,0.500600693,0.206381265,0.120813158,0.1171739
3.06722E-6,14.000172045,0.504954105,0.20536648,0.123634399,0.119755087
3.10413E-6,14.250061375,0.509125565,0.20436407,0.12646231,0.122576385
3.13883E-6,14.500149868,0.513014571,0.203372799,0.129196847,0.125277628
3.17243E-6,14.750109705,0.516751274,0.202392665,0.132004749,0.127438622
3.20781E-6,15.000248653,0.520653874,0.201422431,0.134752624,0.13025992
3.23844E-6,15.250070134,0.524008321,0.200463336,0.137393787,0.1332613
3.26901E-6,15.500275241,0.527332266,0.199511666,0.140155002,0.135422294
3.29975E-6,15.750198374,0.530651131,0.198569896,0.142789494,0.137763371
3.32888E-6,16.000096246,0.533775036,0.197636789,0.145377299,0.140224503
3.35866E-6,16.250190002,0.536946875,0.196711107,0.147851721,0.142505553
3.38608E-6,16.500091731,0.539848239,0.195794088,0.1503795,0.145386878
3.4138E-6,16.750016044,0.54276287,0.194884494,0.152933958,0.147547872
3.4404E-6,17.000201652,0.545541888,0.193981088,0.155328344,0.149888949
3.46653E-6,17.250233416,0.548255959,0.193085107,0.157789427,0.152770274
3.49234E-6,17.500063886,0.550921311,0.192196551,0.160197153,0.155051324
3.51801E-6,17.750317181,0.553555856,0.191312946,0.162531514,0.158052704
3.54304E-6,18.000255515,0.55610962,0.190436766,0.16494591,0.160573864
3.56803E-6,18.250213551,0.55864581,0.189566773,0.167253592,0.163395162
3.59251E-6,18.500132218,0.561115018,0.188702969,0.169694666,0.165976349
3.61691E-6,18.750273751,0.563563288,0.187844114,0.172282471,0.16771715
3.63992E-6,19.000265893,0.565859709,0.186991447,0.174883615,0.169998199
3.66323E-6,19.250018478,0.568172544,0.186144968,0.177237985,0.172579387
3.68638E-6,19.500273832,0.570458284,0.185302202,0.179679059,0.174740381
3.70828E-6,19.750207602,0.572608941,0.184465623,0.182253525,0.177981872
3.73E-6,20.000144912,0.574731681,0.183633994,0.184694599,0.181163335
3.74946E-6,20.250322548,0.576624529,0.182806078,0.187242387,0.18380455
3.77077E-6,20.50036068,0.578688388,0.181983112,0.18969013,0.186805931
3.79152E-6,20.750284633,0.580687037,0.181165097,0.192317953,0.189507173
3.81277E-6,21.000077644,0.58272483,0.180352031,0.194745688,0.192268443
3.83383E-6,21.250154473,0.584734349,0.179542679,0.197266797,0.194849631
3.85481E-6,21.500042461,0.586726304,0.178738276,0.199661184,0.197790984
3.87492E-6,21.750094177,0.588627847,0.177937586,0.202268998,0.199831923
3.89655E-6,22.00032959,0.5906621,0.177140608,0.204963517,0.20241311
3.91635E-6,22.250338685,0.592515962,0.176348581,0.20759801,0.204754187
3.93666E-6,22.500069543,0.594408264,0.175561504,0.210132458,0.20793565
3.95591E-6,22.750219961,0.596193982,0.174776902,0.212740272,0.210937031
3.97559E-6,23.000048429,0.598011845,0.17399725,0.215541505,0.213578246
3.99357E-6,23.250274719,0.599665781,0.173220073,0.21830272,0.215919323
4.0127E-6,23.500075492,0.601417416,0.172447847,0.221057265,0.218740621
4.03122E-6,23.750240494,0.603105767,0.171678095,0.223858498,0.221862057
4.04854E-6,24.000298674,0.604678113,0.170912057,0.226533008,0.224923465
4.06501E-6,24.250216575,0.606168346,0.17014973,0.229307562,0.227864818
4.0819E-6,24.500312681,0.607690257,0.169389879,0.23202209,0.230205895
4.09878E-6,24.750222956,0.609205205,0.168633741,0.234796644,0.233387358
4.11477E-6,25.000356031,0.610634415,0.167880077,0.237631224,0.235248214
4.13107E-6,25.250195558,0.6120867,0.167130126,0.240345752,0.23812954
