Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.08771E-15,0.000000001,0,0.963288299,0.000023649,0.000212857
2.31628E-15,0.000000003,0,0.951969735,0.000023649,0.000212857
6.45249E-15,0.00000001,0.000000001,0.930150621,0.000023649,0.000212857
1.48754E-14,0.000000025,0.000000002,0.910685314,0.000023649,0.000212857
7.2748E-14,0.0000001,0.000000008,0.884868938,0.000047298,0.000212857
1.80583E-13,0.00000025,0.00000002,0.869371192,0.000047298,0.000212857
6.64671E-13,0.000001,0.000000072,0.845522509,0.000047298,0.000212857
1.34287E-12,0.0000025,0.000000145,0.826349262,0.000047298,0.000212857
4.27493E-12,0.00001,0.000000463,0.789950659,0.000047298,0.000212857
1.01949E-11,0.000025,0.000001104,0.76252424,0.000047298,0.000212857
2.03267E-11,0.00005,0.000002202,0.741633284,0.000047298,0.000212857
3.84394E-11,0.000100003,0.000004164,0.720051779,0.000047298,0.000212857
9.32437E-11,0.000250004,0.000010101,0.690012908,0.000047298,0.000212857
1.752E-10,0.000500005,0.000018979,0.666359756,0.000047298,0.000212857
3.29998E-10,0.001000011,0.000035747,0.641139876,0.000047298,0.000212857
7.47411E-10,0.002500061,0.000080961,0.605415734,0.000047298,0.000212857
1.31577E-9,0.005000114,0.000142522,0.575003125,0.000070947,0.000212857
2.3151E-9,0.010000067,0.000250754,0.54015145,0.000070947,0.000212857
5.11463E-9,0.025000379,0.000553894,0.488089271,0.000070947,0.000212857
9.66913E-9,0.050000755,0.001046869,0.445054965,0.000118245,0.000212857
1.85489E-8,0.100001631,0.002007311,0.399621064,0.000331087,0.000425713
3.94223E-8,0.200002533,0.004261356,0.354136424,0.000969611,0.000851426
6.48647E-8,0.300002266,0.007001909,0.329785299,0.001631784,0.000851426
9.18062E-8,0.400008732,0.009895707,0.313786348,0.002152063,0.000851426
1.17434E-7,0.500008124,0.012640542,0.301941828,0.00248315,0.001702852
1.41786E-7,0.600013968,0.015241774,0.292368199,0.002814237,0.001915709
1.65455E-7,0.700004716,0.017763381,0.284306846,0.003145323,0.002554278
1.76813E-7,0.750009394,0.0189712,0.280690747,0.003381814,0.002979991
1.88364E-7,0.800014738,0.020197937,0.277301118,0.003760199,0.002979991
2.11689E-7,0.900020546,0.022670454,0.271107217,0.004067636,0.003405705
2.3527E-7,1.000020675,0.025163862,0.265566739,0.004304127,0.003831418
2.57483E-7,1.100005059,0.027506666,0.260546029,0.004587915,0.004044274
2.78792E-7,1.200003911,0.029748967,0.255929995,0.004800757,0.004044274
2.99919E-7,1.30002762,0.031966871,0.251650572,0.005131843,0.004257131
3.20979E-7,1.400027972,0.034172806,0.247664448,0.005368334,0.0048957
3.40387E-7,1.50001572,0.036201221,0.243924594,0.005746719,0.005108557
3.85296E-7,1.750036592,0.040878542,0.235395451,0.006408892,0.005747126
4.25928E-7,2.000017463,0.045090826,0.227767238,0.007142013,0.006385696
4.64131E-7,2.250016399,0.049034508,0.220814724,0.007827835,0.007449979
