Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.13526E-15,0.000000001,0,0.988181468,0,0
3.58179E-15,0.000000003,0,0.981676944,0,0
8.64389E-15,0.00000001,0,0.965612404,0,0
1.8234E-14,0.000000025,0.000000001,0.951217309,0,0
5.36432E-14,0.0000001,0.000000003,0.923299586,0,0
1.38226E-13,0.00000025,0.000000007,0.902647475,0,0
4.66867E-13,0.000001,0.000000022,0.870371127,0,0
9.49893E-13,0.0000025,0.000000045,0.842725663,0,0
3.50322E-12,0.00001,0.000000166,0.795531976,0,0
7.91763E-12,0.000025,0.000000375,0.761456241,0,0
1.49711E-11,0.00005,0.00000071,0.733836766,0,0
2.77224E-11,0.0001,0.000001314,0.704165445,0,0
6.3633E-11,0.000250003,0.000003016,0.6611101,0,0
1.21928E-10,0.000500006,0.00000578,0.626666815,0,0
2.38719E-10,0.001000001,0.000011316,0.591322599,0,0
6.16927E-10,0.002500025,0.000029243,0.544166039,0,0
1.21672E-9,0.005000013,0.000057673,0.509257437,0,0
2.43182E-9,0.010000093,0.000115266,0.473928072,0,0
5.42347E-9,0.025000044,0.000257049,0.42521592,0,0
9.12247E-9,0.050000358,0.000432328,0.382268242,0,0
1.61729E-8,0.100000854,0.00076633,0.3319906,0,0
3.09282E-8,0.200001941,0.001464977,0.277377845,0,0
4.50196E-8,0.300000358,0.002131733,0.244429511,0,0
6.1427E-8,0.40000125,0.002907512,0.220882789,0,0
8.02221E-8,0.50000233,0.003795447,0.203286171,0,0
9.9612E-8,0.600005246,0.004710652,0.189470245,0,0
1.20411E-7,0.700003882,0.005691419,0.178166531,0,0
1.31273E-7,0.750005019,0.006203254,0.173246062,0,0
1.42553E-7,0.80001111,0.006734485,0.168726556,0,0
1.65454E-7,0.900010226,0.007812127,0.160675104,0.000049407,0
1.88949E-7,1.00000043,0.00891653,0.153676801,0.000098814,0.00044484
2.1474E-7,1.10001958,0.010127415,0.147536115,0.000247036,0.00044484
2.407E-7,1.20002322,0.01134476,0.142092165,0.00034585,0.00044484
2.6661E-7,1.300008302,0.012558244,0.137207584,0.000592885,0.00088968
2.93949E-7,1.400023017,0.013837069,0.132787082,0.000642292,0.00088968
3.22358E-7,1.500025353,0.015164203,0.128767544,0.0006917,0.00088968
3.93729E-7,1.750023026,0.018490355,0.120079995,0.001284585,0.001779359
4.72349E-7,2.000024755,0.022141369,0.112908435,0.001729249,0.002224199
5.53177E-7,2.250020609,0.02588076,0.106855615,0.002124506,0.002669039
6.41127E-7,2.500053006,0.02993339,0.101666599,0.00256917,0.003113879
7.36485E-7,2.750048196,0.034308353,0.097165656,0.003310277,0.003558719
8.2752E-7,3.000013831,0.038466508,0.09320552,0.003952569,0.004003559
9.22022E-7,3.250016712,0.042764141,0.089662436,0.00479249,0.004003559
1.01923E-6,3.500062489,0.047164926,0.086469576,0.005434783,0.004003559
1.12164E-6,3.750068407,0.051779064,0.083577439,0.006225296,0.004893238
1.22094E-6,4.000065134,0.056231654,0.080936523,0.006867589,0.005338078
1.32638E-6,4.250120813,0.060936817,0.078504752,0.007460474,0.006672598
1.42859E-6,4.500125406,0.065475861,0.076254899,0.008300395,0.007117438
1.53346E-6,4.750066626,0.070109889,0.074165927,0.009486166,0.008007117
1.63735E-6,5.000127756,0.074677649,0.072213085,0.010474308,0.009341637
1.73996E-6,5.250008764,0.079167373,0.070381522,0.011511858,0.010231317
1.84869E-6,5.500158784,0.083901395,0.06865515,0.012648221,0.010676157
1.95558E-6,5.750129137,0.088531245,0.067027782,0.013735178,0.012010676
2.06792E-6,6.000078629,0.093371864,0.065489516,0.014772727,0.012455516
2.18569E-6,6.250081724,0.098419207,0.064034166,0.015810277,0.015124555
2.30765E-6,6.500223059,0.103616196,0.062655544,0.01729249,0.016459075
2.42828E-6,6.750007199,0.108727017,0.061349936,0.019318182,0.019128114
2.54596E-6,7.000218034,0.113685319,0.060104968,0.02055336,0.019572954
2.66399E-6,7.250254854,0.118630074,0.058916927,0.021689723,0.021352313
2.79624E-6,7.500088238,0.124137765,0.057784576,0.023468379,0.024021352
2.9335E-6,7.750109794,0.129818349,0.056704201,0.025296443,0.026690391
3.06853E-6,8.000119538,0.135370168,0.055673328,0.027470356,0.028024911
3.21093E-6,8.250179397,0.141186827,0.054687007,0.029150198,0.028914591
3.34938E-6,8.500071324,0.146804292,0.053743999,0.031373518,0.03024911
3.48399E-6,8.750212301,0.15223095,0.052838118,0.033102767,0.03158363
3.63178E-6,9.000124993,0.158149318,0.051969363,0.034881423,0.034252669
3.77113E-6,9.250164265,0.163691862,0.051132785,0.036709486,0.035587189
3.90489E-6,9.500388608,0.168977527,0.050325907,0.038241107,0.036921708
4.05205E-6,9.750075633,0.1747545,0.04954873,0.040167984,0.038256228
4.18397E-6,10.000042094,0.179898868,0.048797542,0.041600791,0.040480427
4.33072E-6,10.250240032,0.185583652,0.048069867,0.043428854,0.042704626
4.4842E-6,10.50000395,0.191487288,0.04736818,0.04555336,0.044928826
