Predictor variable,Categorical,Sample average
Var1,false,3.7401861641818677
Var10,false,18.591060599403104
Var11,false,-12.230617197183792
Var12,false,213.52534584980236
Var13,false,40.36299407114625
Var14,false,5.224851778656126
Var15,false,70.08350721040019
Var16,false,103.41640316205533
Var17,false,19.423073122529644
Var18,false,95.76417984189723
Var19,false,26.66175889328063
Var2,false,13.044276109164976
Var3,false,28.251435181916957
Var4,false,1258.4613036403223
Var5,false,26.704129415973256
Var6,false,-19.9097124266947
Var7,false,46.61384184846858
Var8,false,15.401232131877583
Var9,false,-6.11154792193937
