Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.49889E-11,0.000000002,0.000011534,1,0,0
2.50104E-11,0.000000005,0.000011544,0.999998762,0,0
2.50571E-11,0.00000001,0.000011565,0.999996287,0,0
2.51276E-11,0.000000025,0.000011598,0.999988862,0,0
2.54252E-11,0.000000101,0.000011735,0.999951736,0,0
2.56609E-11,0.000000252,0.000011844,0.999878721,0,0
2.64889E-11,0.000001001,0.000012226,0.999523546,0,0
2.84426E-11,0.000002501,0.000013128,0.99884661,0,0
3.50069E-11,0.000010001,0.000016158,0.995932198,0,0
4.05564E-11,0.000025002,0.000018719,0.991064943,0,0
4.69045E-11,0.000050004,0.000021649,0.983984961,0,0
5.46721E-11,0.000100004,0.000025235,0.971786504,0,0
7.90281E-11,0.000250003,0.000036476,0.943589096,0,0
1.26261E-10,0.000500004,0.000058276,0.912848538,0,0
2.52233E-10,0.001000003,0.000116416,0.878077304,0,0
8.52364E-10,0.002500079,0.000393346,0.837666589,0,0
2.14122E-9,0.005000116,0.000987829,0.815530664,0,0
4.41253E-9,0.010000222,0.00203461,0.795863638,0,0
1.16955E-8,0.025000322,0.005383705,0.770232893,0,0
2.17668E-8,0.050000154,0.009996571,0.751464322,0,0
4.0455E-8,0.10000371,0.01849946,0.731256489,0,0
8.10707E-8,0.200001955,0.036728147,0.710642742,0.000129782,0.000250299
1.06149E-7,0.300005815,0.047813838,0.697412175,0.000512949,0.00055622
1.29435E-7,0.400010872,0.057993234,0.686867074,0.000735433,0.000889952
1.52668E-7,0.500011523,0.068041307,0.678073097,0.00116186,0.001418361
1.737E-7,0.600001028,0.077044493,0.670505524,0.00176133,0.00194677
1.89729E-7,0.700004031,0.083847734,0.66369904,0.002397881,0.002363935
1.97192E-7,0.750007185,0.086998124,0.660499992,0.002669806,0.002614234
2.0468E-7,0.800015932,0.09014812,0.657420986,0.003015892,0.002808911
2.17295E-7,0.90001738,0.095430726,0.651553797,0.003578282,0.003226076
2.29378E-7,1.0000047,0.100461417,0.646015794,0.00402943,0.004004783
2.40326E-7,1.10001259,0.104995475,0.640747575,0.004449677,0.004366326
2.5116E-7,1.200020961,0.109460014,0.635712014,0.004894645,0.004894735
2.61185E-7,1.300011215,0.113571299,0.630880648,0.005416864,0.005256278
2.71928E-7,1.40000172,0.117955791,0.626237388,0.005877282,0.005895931
2.82529E-7,1.500009581,0.122261172,0.621772334,0.00635006,0.006368718
3.08256E-7,1.750002465,0.132622433,0.611299011,0.007796205,0.007926134
3.32731E-7,2.000018182,0.142365956,0.601641229,0.009183639,0.009622605
3.57518E-7,2.250003153,0.152122261,0.592669045,0.011195264,0.012236838
3.82919E-7,2.500005091,0.162004838,0.584310683,0.01328414,0.014378285
4.08594E-7,2.750028655,0.171877213,0.576488176,0.015496618,0.016603165
4.34861E-7,3.000004681,0.181856629,0.569149548,0.017879049,0.018800234
4.63083E-7,3.250021766,0.1924451,0.562251486,0.020103888,0.021080735
4.90376E-7,3.500047955,0.202554455,0.555760575,0.022112422,0.023333426
5.17754E-7,3.750045918,0.212568063,0.549622364,0.023805772,0.025085519
5.44171E-7,4.000033618,0.222111098,0.543794776,0.025514571,0.026392636
5.71924E-7,4.250056695,0.232012497,0.538249348,0.027238821,0.028311594
5.98866E-7,4.500016343,0.241503484,0.532966278,0.028839469,0.029674333
6.26062E-7,4.75004536,0.250965438,0.527913392,0.030369045,0.031287371
6.54396E-7,5.000003245,0.26069739,0.523080788,0.032148916,0.03348444
6.82298E-7,5.250068187,0.270157753,0.518448666,0.034355214,0.035987429
7.09013E-7,5.500022973,0.279101993,0.514003413,0.036678934,0.038101065
7.33935E-7,5.75003941,0.287346979,0.509715328,0.039061365,0.040075646
7.58373E-7,6.000053801,0.295340528,0.505568323,0.041610659,0.042495203
7.83625E-7,6.250046524,0.303505953,0.50155621,0.044246475,0.044553216
8.09273E-7,6.500059816,0.311702495,0.497671564,0.046978082,0.047223072
8.34775E-7,6.750077027,0.319756821,0.493906959,0.049842562,0.050004172
8.59974E-7,7.000028685,0.327622971,0.490256208,0.052601979,0.052840893
8.86031E-7,7.250010795,0.33566134,0.486711886,0.05550354,0.055343883
9.12762E-7,7.500069032,0.343807584,0.483270281,0.058337119,0.057791251
9.38853E-7,7.75008313,0.351662808,0.479927678,0.061115077,0.060683594
9.65141E-7,8.000087758,0.359481802,0.476677891,0.063917755,0.063742804
9.90875E-7,8.250021229,0.367044866,0.473514732,0.066927467,0.066273605
1.01684E-6,8.500058592,0.374584161,0.470432014,0.069764136,0.069249381
1.04191E-6,8.750066079,0.381781282,0.467426023,0.072542094,0.072113914
1.06779E-6,9.00009476,0.389121536,0.464491809,0.075561076,0.075590288
1.09208E-6,9.25002735,0.395931297,0.461628136,0.078422466,0.078260144
1.11571E-6,9.500069841,0.402485429,0.458825102,0.081252955,0.081013433
1.1379E-6,9.750081442,0.408572979,0.456078995,0.084030913,0.083516422
1.15872E-6,10.000027171,0.414229884,0.453384865,0.086700719,0.085852546
1.17873E-6,10.250018636,0.419614571,0.450737761,0.089441596,0.089217677
1.19741E-6,10.500020397,0.424597998,0.448133971,0.092414228,0.091943154
1.21581E-6,10.750056273,0.429462728,0.445569783,0.095380679,0.094724254
1.23339E-6,11.000009658,0.434073902,0.443043959,0.0983255,0.097588787
1.25144E-6,11.250098658,0.438770085,0.440552786,0.101264141,0.100425508
1.26882E-6,11.500084297,0.443253717,0.438097501,0.104035919,0.103429096
1.28615E-6,11.750038878,0.447688663,0.43567563,0.106705725,0.106293629
1.30389E-6,12.000105092,0.452193363,0.433285935,0.109421882,0.108880051
1.32078E-6,12.250108271,0.456447604,0.430928417,0.112036067,0.11163334
1.33768E-6,12.500039009,0.460670243,0.428601837,0.114783125,0.113830409
1.35449E-6,12.750017767,0.464838781,0.42630372,0.117242807,0.115999666
1.37062E-6,13.000052642,0.468808817,0.42403283,0.119767381,0.118864199
1.38682E-6,13.250124982,0.472767161,0.421787927,0.122295044,0.121700921
1.40287E-6,13.500108681,0.476657854,0.419570251,0.124856699,0.124259532
1.41912E-6,13.750119801,0.480568171,0.417377325,0.127415263,0.126957199
1.43653E-6,14.000143072,0.48472674,0.415210388,0.129949107,0.129599244
1.45269E-6,14.250068757,0.488553897,0.41306944,0.132482951,0.131907556
1.46973E-6,14.500100736,0.492561179,0.410952004,0.134988984,0.134327113
1.4865E-6,14.750064374,0.49647302,0.40885932,0.137461027,0.136579804
1.50366E-6,15.000025399,0.500446477,0.406790149,0.139892899,0.138832494
1.51958E-6,15.250049901,0.504103903,0.404743253,0.142389662,0.141196429
1.5364E-6,15.500133016,0.507938276,0.402717396,0.144812264,0.143504742
1.55271E-6,15.750003922,0.511628783,0.400715052,0.147305937,0.145618378
1.56905E-6,16.000070096,0.515299427,0.398732509,0.14979652,0.148149178
1.58584E-6,16.250097337,0.519040553,0.396771004,0.152277833,0.151180577
1.60194E-6,16.500049698,0.522600692,0.394830537,0.155065061,0.153627944
1.61871E-6,16.750149827,0.526282735,0.392908633,0.157747227,0.156409044
1.63581E-6,17.000110587,0.530006875,0.391007768,0.160454114,0.158856412
1.65374E-6,17.25010781,0.533881174,0.389126703,0.163207352,0.161526267
1.67008E-6,17.500052569,0.537383586,0.387265439,0.16597295,0.164557666
1.68736E-6,17.750052571,0.541056821,0.385422738,0.168797259,0.167366577
1.70405E-6,18.0000082,0.544579476,0.383598601,0.171643198,0.170592652
1.72165E-6,18.250080995,0.548264953,0.381791788,0.174504587,0.173429374
1.73928E-6,18.500116252,0.551925456,0.380003539,0.177365977,0.176572017
1.75746E-6,18.750134513,0.555668793,0.378233853,0.180017242,0.179631226
1.77482E-6,19.000027113,0.559214826,0.376482731,0.182878632,0.182356704
1.79185E-6,19.250045396,0.562666595,0.374747696,0.185783282,0.184692828
1.80854E-6,19.500111425,0.566022044,0.373028749,0.188598321,0.187418305
1.82489E-6,19.750080859,0.569285869,0.371325891,0.191475161,0.190394082
1.84162E-6,20.000115448,0.572599377,0.369637883,0.194271659,0.193063937
1.85835E-6,20.250069939,0.575885993,0.367965963,0.197129958,0.195872848
1.87438E-6,20.500149426,0.579013698,0.366307656,0.20011186,0.198514893
1.89091E-6,20.750187142,0.582213322,0.364664199,0.20300415,0.20124037
1.90711E-6,21.000088173,0.585324556,0.363035593,0.205766658,0.203993659
1.92326E-6,21.250027073,0.588404826,0.3614206,0.208643497,0.206997247
1.93948E-6,21.500135863,0.591473868,0.359817982,0.211486347,0.209583669
1.95559E-6,21.750018282,0.594500773,0.358230215,0.214406447,0.212142281
1.9719E-6,22.000002912,0.597542222,0.356654823,0.217172045,0.215201491
1.98779E-6,22.250040179,0.600482804,0.355091807,0.220064335,0.218177267
2.00443E-6,22.500167621,0.603540698,0.353541166,0.222882464,0.220958367
2.02021E-6,22.750112072,0.60641793,0.352004138,0.225703682,0.224045388
2.03608E-6,23.000168427,0.609290285,0.350478248,0.228605243,0.226826487
2.05175E-6,23.250162036,0.612105163,0.348964734,0.231438822,0.230135996
2.06562E-6,23.500097164,0.614581077,0.347462357,0.234297121,0.232805851
2.07988E-6,23.750068239,0.617108275,0.345969881,0.237204861,0.235586951
2.09405E-6,24.000110768,0.61960605,0.344487305,0.240128052,0.238006508
2.10834E-6,24.250133493,0.622105181,0.343014629,0.242952361,0.240759796
2.12162E-6,24.500139197,0.624415588,0.341551854,0.245884821,0.243318408
2.13372E-6,24.75012912,0.626507491,0.340097741,0.24871531,0.246627917
2.14588E-6,25.000048272,0.628597028,0.338652291,0.251490178,0.249742748
2.15781E-6,25.250091555,0.63063658,0.337214267,0.254367018,0.25257947
2.16973E-6,25.500005884,0.632664219,0.335784905,0.257188237,0.255527436
2.18132E-6,25.750205114,0.634623271,0.334361731,0.260018726,0.258364157
2.19282E-6,26.000215635,0.636558133,0.33294722,0.262901746,0.261145257
2.20372E-6,26.250170161,0.638382325,0.331540134,0.265744595,0.264287899
2.21447E-6,26.50003131,0.640171731,0.330140473,0.268575084,0.266957755
2.22523E-6,26.750195996,0.641953886,0.328745763,0.271383942,0.270100398
2.23524E-6,27.000215484,0.643603839,0.327358478,0.274214431,0.272770253
2.24521E-6,27.250223645,0.645240882,0.32597738,0.27704492,0.275217621
2.25462E-6,27.500193139,0.646778885,0.32460247,0.279897039,0.277887477
2.26408E-6,27.750081726,0.648317357,0.323233748,0.282749159,0.280668576
2.27359E-6,28.000102427,0.649857321,0.321869976,0.285486946,0.283588731
2.28308E-6,28.250025281,0.651387856,0.320512392,0.288264904,0.286731374
2.29182E-6,28.500048542,0.652791607,0.319159758,0.291126294,0.289317796
2.30065E-6,28.750112662,0.654203023,0.317812074,0.293947512,0.292071085
2.30949E-6,29.000221492,0.655611736,0.316469341,0.296824352,0.294462831
2.31827E-6,29.250132524,0.657003909,0.315132795,0.29961467,0.297466418
2.32688E-6,29.500046583,0.658365629,0.313801199,0.30248533,0.300219707
2.33486E-6,29.75015459,0.659620421,0.312473315,0.30535599,0.302667075
2.34304E-6,30.000189043,0.660904463,0.311150382,0.308186479,0.305364741
2.35144E-6,30.250168605,0.662215508,0.3098324,0.310952076,0.308284896
2.35935E-6,30.500074406,0.663447456,0.308519367,0.313723854,0.311232861
2.36683E-6,30.750108104,0.664606736,0.307210047,0.316545073,0.313596796
2.37412E-6,31.000206459,0.665733643,0.305904439,0.319363202,0.316238841
2.38152E-6,31.250105783,0.666872995,0.304603782,0.32212571,0.319047751
2.38815E-6,31.500033684,0.667891511,0.303306838,0.324906758,0.321856662
2.39489E-6,31.750191003,0.668922917,0.302012368,0.327653815,0.32458214
2.40152E-6,32.000079258,0.669934998,0.300722849,0.330379242,0.327502294
2.40844E-6,32.250194998,0.670986765,0.299435804,0.33313557,0.330199961
2.41485E-6,32.500049043,0.671959072,0.29815371,0.335959879,0.332480463
2.4216E-6,32.750099736,0.6729794,0.296874091,0.338768737,0.334566288
2.42828E-6,33.000122381,0.673985954,0.295598185,0.341571416,0.3368746
2.4342E-6,33.250044766,0.674876105,0.294325991,0.344299933,0.339822566
2.44069E-6,33.50012321,0.675847915,0.293056272,0.347074801,0.342297745
2.44691E-6,33.750130415,0.67677727,0.291790266,0.349828039,0.345162277
2.45296E-6,34.000025,0.677678792,0.290527973,0.352534925,0.348221487
2.45868E-6,34.250030627,0.678529049,0.289268154,0.355235632,0.351252885
2.46468E-6,34.500140049,0.679418195,0.288010811,0.357970329,0.353950552
2.47029E-6,34.750109334,0.680247269,0.286757181,0.360720477,0.35667603
