Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.1598E-13,0.000000001,0.00000003,0.999877483,0,0
1.37065E-13,0.000000003,0.000000035,0.999731453,0,0
1.73633E-13,0.00000001,0.000000044,0.999142383,0,0
2.13273E-13,0.000000025,0.000000055,0.998184525,0,0
3.66915E-13,0.0000001,0.000000094,0.994965677,0,0
5.31283E-13,0.00000025,0.000000136,0.990821147,0,0
1.06908E-12,0.000001,0.000000273,0.979038504,0,0
2.33974E-12,0.0000025,0.000000598,0.967398178,0,0
7.83159E-12,0.00001,0.000002002,0.947446517,0,0
1.67916E-11,0.000025002,0.000004291,0.932178954,0,0
2.72811E-11,0.000050002,0.000006972,0.917927413,0,0
4.68883E-11,0.000100001,0.000011983,0.900923578,0,0
9.37611E-11,0.000250009,0.000023962,0.874023115,0,0
1.37146E-10,0.000500011,0.00003505,0.847573117,0,0
1.96174E-10,0.00100001,0.000050135,0.810151067,0,0
4.12256E-10,0.002500003,0.000105355,0.745181319,0,0
6.91958E-10,0.005000065,0.000176829,0.688836005,0,0
1.27165E-9,0.010000081,0.000324945,0.62279702,0,0
3.57249E-9,0.02500002,0.000912607,0.536633117,0,0
1.00134E-8,0.050000545,0.002555872,0.486042376,0,0
2.37561E-8,0.100001908,0.006052972,0.44794339,0,0
5.06348E-8,0.20000035,0.012857413,0.412717978,0,0
8.50765E-8,0.300006608,0.021508405,0.394057073,0.000042384,0.000047683
1.17387E-7,0.400002969,0.029555257,0.381679172,0.000058278,0.000047683
1.52661E-7,0.500007545,0.038264407,0.372455767,0.000111258,0.000047683
1.88336E-7,0.60001831,0.046993056,0.365166641,0.000190728,0.000047683
2.24219E-7,0.700020509,0.055692847,0.359158372,0.000249007,0.000047683
2.4133E-7,0.750006137,0.059813326,0.356497655,0.000275497,0.00019073
2.59217E-7,0.800008881,0.064101485,0.35402257,0.000323179,0.000238413
2.96252E-7,0.900005816,0.072918186,0.349558754,0.000482119,0.000381461
3.34593E-7,1.000012868,0.08195809,0.345629556,0.000672848,0.000572191
3.73235E-7,1.100012511,0.090979751,0.342132261,0.000927152,0.000715239
4.11165E-7,1.200031548,0.099749009,0.338971577,0.001112583,0.000953652
4.50145E-7,1.300026517,0.108672937,0.336096766,0.001361589,0.001144383
4.90108E-7,1.400037174,0.117730099,0.333462038,0.0016,0.001573527
5.28506E-7,1.500004813,0.126345935,0.331032742,0.001859603,0.001716574
5.98713E-7,1.750027582,0.141881977,0.325550428,0.002543046,0.002288766
6.57772E-7,2.000058274,0.154737028,0.320631196,0.003247682,0.00290864
7.13791E-7,2.25000546,0.166752232,0.316112928,0.004047682,0.003385466
7.69842E-7,2.500071294,0.178603424,0.311934984,0.004943046,0.004386801
8.29636E-7,2.750023484,0.191060298,0.308066426,0.005933775,0.005388137
8.90811E-7,3.00003347,0.203609191,0.30446889,0.006977483,0.006103376
9.50973E-7,3.250002384,0.215760716,0.301111437,0.008561589,0.007676903
1.01423E-6,3.50002377,0.228337985,0.297961891,0.010283444,0.009917986
1.07832E-6,3.750040479,0.240874295,0.295002927,0.012392053,0.012254434
1.14214E-6,4.000089114,0.253155374,0.292215981,0.014792053,0.014733931
1.2032E-6,4.250036872,0.264718874,0.289578778,0.017229139,0.017404158
1.2628E-6,4.500029444,0.275833356,0.287069041,0.019660927,0.019835972
1.32216E-6,4.750122758,0.286737451,0.284674396,0.022166887,0.022553881
1.38047E-6,5.000122157,0.297287682,0.282384943,0.024550993,0.025128743
1.43785E-6,5.250102701,0.307517083,0.280189542,0.02712053,0.028180431
1.49419E-6,5.500062529,0.317416881,0.278079532,0.029743046,0.03051688
1.55248E-6,5.75005899,0.327509859,0.276047487,0.032460927,0.033568568
1.60654E-6,6.000156914,0.336737737,0.27408722,0.035115232,0.036095747
1.66074E-6,6.250021468,0.345862646,0.272193779,0.037891391,0.038765974
1.71441E-6,6.500046386,0.354773719,0.270359741,0.040656954,0.041293153
1.76983E-6,6.7500596,0.363847733,0.268583868,0.043602649,0.044630936
1.82393E-6,7.00001133,0.372582408,0.266862446,0.046739073,0.047587259
1.87723E-6,7.250157479,0.381071369,0.265189288,0.049917881,0.05068663
1.92817E-6,7.500155895,0.389077585,0.263563157,0.053287417,0.052927713
1.97517E-6,7.750162908,0.396371183,0.261977865,0.056619868,0.056122449
2.02359E-6,8.000005317,0.403794374,0.260430937,0.059825166,0.059126454
2.07209E-6,8.250020887,0.411140079,0.258919898,0.06314702,0.062559603
2.11882E-6,8.500000265,0.418130994,0.257443509,0.066622517,0.066088117
2.16614E-6,8.75003156,0.425125334,0.255999297,0.070034437,0.069282853
